title,price,rating,reviews,availability,images_url
Sony Playstation PS4 1TB Black Console,$377.72,4.7 out of 5 stars,996 ratings,Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/417m+qsw4JL._SX342_SY445_.jpg
PlayStation 4 Slim 1TB Console,Page 1 of 1,4.7 out of 5 stars,"15,363 ratings",,https://m.media-amazon.com/images/I/41sN+-1hRsL._AC_SX300_SY300_.jpg
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),$248.95,4.5 out of 5 stars,"4,199 ratings",Only 9 left in stock - order soon,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/31qCouwS2LL._SY300_SX300_QL70_ML2_.jpg
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$39.01,4.7 out of 5 stars,"144,777 ratings",Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41mCozLA9CL._SX342_SY445_.jpg
"Logitech G Dual-Motor Feedback Driving Force G29 Gaming Racing Wheel with Responsive Pedals for PlayStation 5, 4 and 3 - Black",$399.99,4.7 out of 5 stars,"16,047 ratings",Not Available,https://m.media-amazon.com/images/I/61IYYoZ66VL._AC_SY300_SX300_.jpg
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",$192.01,4.5 out of 5 stars,307 ratings,Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51tbWVPtckL.__AC_SY300_SX300_QL70_ML2_.jpg
PAC-MAN World Re-PAC - PlayStation 4,$18.99,4.7 out of 5 stars,168 ratings,In Stock,https://m.media-amazon.com/images/I/51O-auDF67L._SY430_SX215_QL70_ML2_.jpg
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",$43.99,4.2 out of 5 stars,531 ratings,Not Available,https://m.media-amazon.com/images/I/71eZLW+fh2L._AC_SY300_SX300_.jpg
PlayStation 4 500GB Console [Old Model][Discontinued],$209.89,4.6 out of 5 stars,"13,646 ratings",Only 8 left in stock - order soon,https://m.media-amazon.com/images/I/315zvYgE+tL._SX342_SY445_.jpg
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,$449.99,4.8 out of 5 stars,7 ratings,Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41Qd6LAVQvL._SX342_SY445_.jpg
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$39.01,4.7 out of 5 stars,"144,777 ratings",Not Available,https://m.media-amazon.com/images/I/41mCozLA9CL._SY300_SX300_QL70_ML2_.jpg
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$62.00,4.7 out of 5 stars,"144,777 ratings",Not Available,https://m.media-amazon.com/images/I/41UA7Xb+KvL._SX342_SY445_.jpg
Sword Art Online Last Recollection - PlayStation 4,$59.99,Previous page of related Sponsored Products,,"This item will be released on October 6, 2023.",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51LVXDhRXKL._SX342_SY445_.jpg
PlayStation PS5 Console – God of War Ragnarök Bundle,$559.00,4.8 out of 5 stars,"5,614 ratings",In Stock,https://m.media-amazon.com/images/I/31aLQdeRg+L._SX342_SY445_.jpg
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"144,777 ratings",Not Available,https://m.media-amazon.com/images/I/415-s5FkXIL._SX342_SY445_.jpg
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",$43.99,4.2 out of 5 stars,531 ratings,Not Available,https://m.media-amazon.com/images/I/71eZLW+fh2L._AC_SY300_SX300_.jpg
"Nyko NP4-4500 Wired Headset for Playstation 4 - Lightweight Headphones w/Adjustable Microphone - Compatible w/ PS5, PS4, Xbox One, Xbox X/S, and Nintendo Switch - PS4 Accessories (Black/Blue)",$17.99,5.0 out of 5 stars,2 ratings,Not Available,https://m.media-amazon.com/images/I/31mlK0O1gZL._SX300_SY300_QL70_ML2_.jpg
"TXTHcpo Wireless Controller for PS4 Remote, P4 Gamepad for Playstation 4/Pro/Slim Console Gaming Control with Headset Jack Dual Vibration Speaker Touch Pad Six-axis Motion Control Skull",$22.99,5.0 out of 5 stars,3 ratings,Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41E3rtdw77L._SX342_SY445_.jpg
Sony Playstation 4 Dual Shock 4 Controller,$55.40,4.6 out of 5 stars,"2,139 ratings",Not Available,https://m.media-amazon.com/images/I/71YnmAKO-zL.__AC_SX300_SY300_QL70_ML2_.jpg
"Wireless Controller Compatible with PS-4/PS-4 Slim/PS-4 Pro,with Dual Vibration Game Joystick",$24.99,4.6 out of 5 stars,110 ratings,Not Available,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611rasmdYfL.__AC_SX300_SY300_QL70_ML2_.jpg
