productName,currentprice,mrp,imageurl
Aashvi garments,₹249,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/l/y/j/xl-woman-top-nvh-original-imagj2nzzkbngvzh.jpeg?q=70
FEBIA,₹271,₹899,https://rukminim1.flixcart.com/image/612/612/kdxfc7k0/top/x/h/z/s-bj-top340-hanumntra-original-imafuqcp5fwmyqua.jpeg?q=70
Selvia,₹299,₹1497,https://rukminim1.flixcart.com/image/612/612/km0x5zk0/top/j/z/o/m-178tkr2901-selvia-original-imagfyqfytkkfpkn.jpeg?q=70
POPWINGS,₹299,₹1299,https://rukminim1.flixcart.com/image/612/612/kskotjk0/top/p/x/v/l-p-popt00946-popwings-original-imag6442ax2xreug.jpeg?q=70
Fab Star,₹357,₹1399,https://rukminim1.flixcart.com/image/612/612/klphn680/top/n/5/x/xl-regular-top-fab-star-original-imagyry2geb5ztzq.jpeg?q=70
Aahwan,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/b/y/m/m-168-173-black-aahwan-original-imagapzwstwwctz8.jpeg?q=70
POPWINGS,₹249,₹1299,https://rukminim1.flixcart.com/image/612/612/klphn680/top/v/q/o/xxl-p-popt00826-popwings-original-imagyrhavw7vvwet.jpeg?q=70
krishnafit,₹275,₹1999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/x/b/3/l-kf-28-women-square-neck-full-sleeve-top-krishnafit-original-imaggqn8fy2gdtrz.jpeg?q=70
JUNEBERRY,₹299,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/top/5/j/o/s-jb-54-502-wild-juneberry-original-imag63tkdrzdn52k-bb.jpeg?q=70
VeBNoR,₹259,₹1330,https://rukminim1.flixcart.com/image/612/612/xif0q/top/v/y/y/s-top525-vebnor-original-imaggshv5yrbwhav.jpeg?q=70
The Style Story,₹294,₹999,https://rukminim1.flixcart.com/image/612/612/kflftzk0/top/z/r/p/l-t574-the-style-story-original-imafwyvyv5pdzfrg.jpeg?q=70
FEBIA,₹308,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/d/h/k/xl-bj-top0319-febia-original-imafwrhygdrmwugy-bb.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/kmds4nk0/top/g/4/1/xs-0012-top-dl-fashion-original-imagfahyzendxqey.jpeg?q=70
ANNU PARIDHAN,₹329,₹1199,https://rukminim1.flixcart.com/image/612/612/kzygpzk0/kurta/c/c/n/s-anu1153-annu-paridhan-original-imagburgxue2fesm.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/ks0onm80/kurta/a/7/m/l-dmpa316-dmp-fashion-original-imag5zc7venj9thq.jpeg?q=70
FEBIA,₹324,₹699,https://rukminim1.flixcart.com/image/612/612/k6qsn0w0/top/g/z/p/m-hw-top337-hanumntra-original-imafp5yatg9qppjc.jpeg?q=70
POPWINGS,₹299,₹1299,https://rukminim1.flixcart.com/image/612/612/kskotjk0/top/b/q/w/s-p-popt00951-popwings-original-imag6444t8zmzgzv.jpeg?q=70
Aahwan,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/kx6fwcw0/top/8/d/r/l-168-black-aahwan-original-imag9zvbhhuguf59.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/knni7ww0/top/o/m/o/s-dmp303-dmp-fashion-original-imag2a5qkjgjf22k.jpeg?q=70
BRAVISHESH,₹359,₹799,https://rukminim1.flixcart.com/image/612/612/xif0q/top/g/y/9/s-hdy27-bravishesh-original-imaggmwkhkedzwmn.jpeg?q=70
DL Fashion,₹299,₹999,https://rukminim1.flixcart.com/image/612/612/kp8ntzk0/top/l/l/f/m-00128-top-dl-fashion-original-imag3gr4he5twhw3.jpeg?q=70
Oomph!,₹299,₹1000,https://rukminim1.flixcart.com/image/612/612/l1i6w7k0/top/e/j/8/s-mt405-oomph-original-imagd2cefu8mnggz.jpeg?q=70
SHOPPING QUEEN,₹295,₹1299,https://rukminim1.flixcart.com/image/612/612/kll7bm80/top/9/r/w/s-a242-multicolor-stripe-top-shopping-queen-original-imagyzg7ugbhbehp.jpeg?q=70
Tokyo Talkies,₹369,₹1049,https://rukminim1.flixcart.com/image/612/612/jmgmmq80/top/s/d/h/xl-tttp002545-tokyo-talkies-original-imaf9d5c5exdvsev.jpeg?q=70
Selvia,₹359,₹1797,https://rukminim1.flixcart.com/image/612/612/xif0q/top/l/3/i/s-311tk8063-selvia-original-imagcr2fp4adeues-bb.jpeg?q=70
POPWINGS,₹249,₹1299,https://rukminim1.flixcart.com/image/612/612/xif0q/top/z/a/f/xl-p-popt00831-popwings-original-imagyrhab3g2wvyq-bb.jpeg?q=70
Oomph!,₹299,₹1000,https://rukminim1.flixcart.com/image/612/612/k5e7o280/top/z/h/a/xxl-mt239-oomph-original-imafz3ffnzzbffej.jpeg?q=70
BRAVISHESH,₹449,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/p/3/e/l-bts-girl-bravishesh-original-imaghgft5gtgwt6g.jpeg?q=70
SUBH LAXMI,₹342,₹999,https://rukminim1.flixcart.com/image/612/612/xif0q/top/i/l/u/4xl-slk-24-subh-laxmi-original-image7f72hkd5gqu.jpeg?q=70
JUNEBERRY,₹299,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/top/m/7/f/m-jb-tsh-td-babe-juneberry-original-imafxdfr9matwrbv-bb.jpeg?q=70
Fab Star,₹317,₹1199,https://rukminim1.flixcart.com/image/612/612/xif0q/top/1/i/l/s-crop-top-fab-star-original-imagysy4qfgqqzff-bb.jpeg?q=70
Zkal,₹387,₹1499,https://rukminim1.flixcart.com/image/612/612/l2p23rk0/top/v/r/h/s-ys-wt01-ysec-original-imagdzb5g8cnutzt.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/knni7ww0/top/1/k/b/3xl-dmp304-dmp-fashion-original-imag2a5qf9yqktas.jpeg?q=70
DMP FASHION,₹329,₹1499,https://rukminim1.flixcart.com/image/612/612/knni7ww0/top/9/f/u/xxl-dmp299-dmp-fashion-original-imag2a5qpy986cmy.jpeg?q=70
JUNEBERRY,₹359,₹1199,https://rukminim1.flixcart.com/image/612/612/kv9urgw0/top/a/7/4/xl-jb-tsh-gl33-anthra-juneberry-original-imag87nxcpnenytk.jpeg?q=70
FEBIA,₹295,₹899,https://rukminim1.flixcart.com/image/612/612/k7c88sw0/top/u/c/r/m-hw-top310-hanumntra-original-imafphxu32uedjdc.jpeg?q=70
